authors,pmid_isbn,pmcid,nihmsid,doi,citation_count,open_access,first_page,last_page,title,year,publication,volume,issue,type_mapping,packet
"Empson RM, Heinemann U",7623286,PMC1157954,,10.1113/jphysiol.1995.sp020697,,,707,20,The perforant path projection to hippocampal area CA1 in the rat hippocampal-entorhinal cortex combined slice. ,1995 May 1,J Physiol,484 ( Pt 3), Pt 3,,
"Esclapez M, Houser CR",7700525,,,10.1016/0306-4522(94)00406-U,,,339,355,Somatostatin neurons are a subpopulation of GABA neurons in the rat dentate gyrus: evidence from colocalization of pre-prosomatostatin and glutamate decarboxylase messenger RNAs.,1995 Jan,Neuroscience,64,2,,0
"Wouterlood FG, Hartig W, Bruckner G, Witter MP",7745443,,,,,,135,153,"Parvalbumin-immunoreactive neurons in the entorhinal cortex of the rat: localization, morphology, connectivity and ultrastructure.",1995 Feb,J Neurocytol,24,2,,
"Levey AI, Edmunds SM, Koliatsos V, Wiley RG, Heilman CJ",7751967,,,,,,4077,4092,Expression of m1-m4 muscarinic acetylcholine receptor proteins in rat hippocampus and regulation by cholinergic innervation.,1995 May,J Neurosci,15,5 Pt 2,,
Jones RS,7842056,,,10.1002/hipo.450040317,,,335,353,Synaptic and intrinsic properties of neurons of origin of the perforant path in layer II of the rat entorhinal cortex in vitro.,1994 Jun,Hippocampus,4,3,"6003: EC:SC_II: MEC layer II stellate neurons, MEC layer II type I neurons, MEC layer II type II neurons",1
"Buckmaster PS, Schwartzkroin PA",7874231,,,10.1002/hipo.450040402,,,393,402,Hippocampal mossy cell function: a speculative view.,1994 Aug,Hippocampus,4,4,,0
Scharfman HE,7884451,,,,,,2167,2180,Evidence from simultaneous intracellular recordings in rat hippocampal slices that area CA3 pyramidal cells innervate dentate hilar mossy cells.,1994 Nov,J Neurophysiol,72,5,1002: DG:MC: Dentate gyrus mossy cell,1
"Bernard C, Wheal HV",7889123,,,10.1002/hipo.450040502,,,497,529,Model of local connectivity patterns in CA3 and CA1 areas of the hippocampus.,1994 Oct,Hippocampus,4,5,"2000: CA3:PC-ab: pyramidal cell located in mid CA3, pyramidal cell located in distal CA3 ### 2004: CA3:PC-c: proximal CA3 pyramidal cell ### 4000: CA1:PC: CA1 pyramidal cell ### 4055: CA1:O-A: CA1 O/A interneurons ### 4036: CA1:AA: CA1 chandelier cell",1
"Houser CR, Esclapez M",7889124,,,10.1002/hipo.450040503,,,530,545,Localization of mRNAs encoding two forms of glutamic acid decarboxylase in the rat hippocampal formation.,1994 Oct,Hippocampus,4,5,,0
"Aika Y, Ren JQ, Kosaka K, Kosaka T",7925807,,,10.1007/BF00239593,,,267,276,"Quantitative analysis of GABA-like-immunoreactive and parvalbumin-containing neurons in the CA1 region of the rat hippocampus using a stereological method, the disector.",1994,Exp Brain Res,99,2,,0
"Williams S, Samulack DD, Beaulieu C, LaCaille JC",7931512,,,,,,2217,2235,Membrane properties and synaptic responses of interneurons located near the stratum lacunosum-moleculare/radiatum border of area CA1 in whole-cell recordings from rat hippocampal slices.,1994 Jun,J Neurophysiol,71,6,"4005: CA1:NGF-LM: CA1 lacunosum-moleculare interneuron, CA1 L-M interneuron",1
Scharfman HE,7931561,,,,,,6041,6057,EPSPs of dentate gyrus granule cells during epileptiform bursts of dentate hilar mossy cells and area CA3 pyramidal cells in disinhibited rat hippocampal slices.,1994 Oct,J Neurosci,14,10,,
"Miralles CP, Gutierrez A, Khan ZU, Vitorica J, De Blas AL",7968350,,,,,,129,139,Differential expression of the short and long forms of the gamma 2 subunit of the GABAA/benzodiazepine receptors.,1994 Jul,Brain Res Mol Brain Res,24,04-Jan,,
"Buhl EH, Han ZS, Lorinczi Z, Stezhka VV, Karnup SV, Somogyi P",8035215,,,,,,1289,1307,Physiological properties of anatomically identified axo-axonic cells in the rat hippocampus.,1994 Apr,J Neurophysiol,71,4,,0
"Gao B, Fritschy JM",8075825,,,,,,837,853,Selective allocation of GABAA receptors containing the alpha 1 subunit to neurochemically distinct subpopulations of rat hippocampal interneurons.,1994 May 1,Eur J Neurosci,6,5,,
"Sik A, Ylinen A, Penttonen M, Buzsaki G",8085161,,,10.1126/science.8085161,,,1722,1724,Inhibitory CA1-CA3-hilar region feedback in the hippocampus.,1994 Sep 16,Science,265,5179,"4023: CA1:BP: CA1 backward projecting cell, Ca1 feedback neuron",1
"Baude A, Nusser Z, Roberts JD, Mulvihill E, McIlhinney RA, Somogyi P",8104433,,,,,,771,787,The metabotropic glutamate receptor (mGluR1 alpha) is concentrated at perisynaptic membrane of neuronal subpopulations as detected by immunogold reaction.,1993 Oct,Neuron,11,4,,
Scharfman HE,8105429,PMC3281807,,10.1016/0304-3940(93)90440-v,,,61,6,Activation of dentate hilar neurons by stimulation of the fimbria in rat hippocampal slices. ,1993 Jun 25,Neurosci Lett,156,02-Jan,,
"Sik A, Tamamaki N, Freund TF",8124522,,,,,,1719,1728,"Complete axon arborization of a single CA3 pyramidal cell in the rat hippocampus, and its relationship with postsynaptic parvalbumin-containing interneurons.",1993 Dec 1,Eur J Neurosci,5,12,,
"Gulyas AI, Miles R, Hajos N, Freund TF",8124523,,,10.1111/j.1460-9568.1993.tb00240.x,,,1729,1751,Precision and variability in postsynaptic target selection of inhibitory cells in the hippocampal CA3 region.,1993 Dec 1,Eur J Neurosci,5,12,2029: CA3:BC: CA3 basket cell ### 2028: CA3:AA: CA3 axo-axonic cell ### 2035: CA3:MFA-2: CA3 stratum lucidum basket cell ### 2007: CA3:quad_O-LM: CA3 O-LM cells,1
"Buhl EH, Halasy K, Somogyi P",8159242,,,10.1038/368823a0,,,823,828,Diverse sources of hippocampal unitary inhibitory postsynaptic potentials and the number of synaptic release sites.,1994 Apr 28,Nature,368,6474,4037: CA1:BC: CA1 basket cells ### 4026: CA1:BiC-ivy: CA1 bistratified cells,1
"Fotuhi M, Standaert DG, Testa CM, Penney JB Jr, Young AB",8170352,,,,,,283,292,Differential expression of metabotropic glutamate receptors in the hippocampus and entorhinal cortex of the rat.,1994 Feb,Brain Res Mol Brain Res,21,04-Mar,,
"Frotscher M, Soriano E, Misgeld U",8197576,,,10.1002/syn.890160208,,,148,160,Divergence of hippocampal mossy fibers.,1994 Feb,Synapse,16,2,1005: DG:TML-MOLAX: DG MOLAX cell,1
"Gulyas AI, Miles R, Sik A, Toth K, Tamamaki N, Freund TF",8259211,,,10.1038/366683a0,,,683,7,Hippocampal pyramidal cells excite inhibitory neurons through a single release site. ,1993 Dec 16,Nature,366,6456,,
"Han ZS, Buhl EH, Lorinczi Z, Somogyi P",8261117,,,10.1111/j.1460-9568.1993.tb00507.x,,,395,410,A high degree of spatial selectivity in the axonal and dendritic domains of physiologically identified local-circuit neurons in the dentate gyrus of the rat  hippocampus.,1993 May 1,Eur J Neurosci,5,5,1008: DG:MOPP-NGF: Dentate gyrus MOPP cell ### 1009: DG:HICAP: Dentate gyrus HICAP cell ### 1010: DG:AA: Dentate gyrus axo-axonic cells ### 1033: DG:BC: Dentate gyrus basket cells ### 1013: DG:HIPP: Dentate gyrus HIPP cell,1
"Halasy K, Somogyi P",8261118,,,10.1111/j.1460-9568.1993.tb00508.x,,,411,429,Subdivisions in the multiple GABAergic innervation of granule cells in the dentate gyrus of the rat hippocampus.,1993 May 1,Eur J Neurosci,5,5,1010: DG:AA: Dentate gyrus axo-axonic cells,1
"Tamamaki N, Nojyo Y",8269038,,,10.1002/hipo.450030408,,,471,480,Projection of the entorhinal layer II neurons in the rat as revealed by intracellular pressure-injection of neurobiotin.,1993 Oct,Hippocampus,3,4,6003: EC:SC_II: EC layer II spiny stellate neurons,1
"Soriano E, Martinez A, Farinas I, Frotscher M",8276990,,,10.1002/cne.903370110,,,151,167,Chandelier cells in the hippocampal formation of the rat: the entorhinal area and subicular complex.,1993 Nov 1,J Comp Neurol,337,1,5002: SUB:AA: subiculum chandelier cell ### 6048: EC:AA_II: EC chandelier cells ### 6076: EC:AA_II-III: EC layer II / III chandelier cells,1
"Buckmaster PS, Strowbridge BW, Schwartzkroin PA",8283200,,,,,,1281,1299,A comparison of rat hippocampal mossy cells and CA3c pyramidal cells.,1993 Oct,J Neurophysiol,70,4,,
"Li XG, Somogyi P, Ylinen A, Buzsaki G",8300905,,,10.1002/cne.903390204,,,181,208,The hippocampal CA3 network: an in vivo intracellular labeling study.,1994 Jan 8,J Comp Neurol,339,2,"2000: CA3:PC-ab: CA3a pyramidal neuron, CA3b pyramidal neuron ### 2004: CA3:PC-c: CA3c pyramidal neuron",1
"Soltesz I, Bourassa J, Deschenes M",8309524,,,10.1016/0306-4522(93)90005-Z,,,555,564,The behavior of mossy cells of the rat dentate gyrus during theta oscillations in vivo.,1993 Dec,Neuroscience,57,3,1032: DG:MC_proj: DG mossy cells,0
"Soriano E, Frotscher M",8376624,,,10.1002/cne.903340305,,,385,396,GABAergic innervation of the rat fascia dentata: a novel type of interneuron in the granule cell layer with extensive axonal arborization in the molecular layer.,1993 Aug 15,J Comp Neurol,334,3,1005: DG:TML-MOLAX: Dentate gyrus neuron with an axon innervating the molecular layer,1
"Obenaus A, Esclapez M, Houser CR",8410199,,,,,,4470,4485,Loss of glutamate decarboxylase mRNA-containing neurons in the rat dentate gyrus  following pilocarpine-induced seizures.,1993 Oct,J Neurosci,13,10,,0
"Tecott LH, Maricq AV, Julius D",8434003,,,,,,1430,1434,Nervous system distribution of the serotonin 5-HT3 receptor mRNA.,1993 Feb 15,Proc Natl Acad Sci U S A,90,4,,
"Jones RS, Buhl EH",8469376,,,10.1016/0304-3940(93)90341-H,,,35,39,Basket-like interneurones in layer II of the entorhinal cortex exhibit a powerful NMDA-mediated synaptic excitation.,1993 Jan 4,Neurosci Lett,149,1,6053: EC:MPI-BC_II: EC layer II fast-spiking interneurones,1
"Ishizuka N, Cowan WM, Amaral DG",8576427,,,10.1002/cne.903620103,,,17,45,A quantitative analysis of the dendritic organization of pyramidal cells in the rat hippocampus.,1995 Nov 6,J Comp Neurol,362,1,,0
"Patton PE, McNaughton B",8589792,,,10.1002/hipo.450050402,,,245,286,Connection matrix of the hippocampal formation: I. The dentate gyrus.,1995,Hippocampus,5,4,"1000: DG:GC: Dentate gyrus granule cell ### 1002: DG:MC: Dentate gyrus mossy cell ### 1008: DG:MOPP-NGF: Dentate gyrus MOPP cell ### 1009: DG:HICAP: Dentate gyrus HIPP cell, Dentate gyrus somatostatin-positive GABAergic peptidergic polymorphic cell ### 1010: DG:AA: Dentate gyrus axo-axonic cells, Dentate gyrus chandelier cells ### 1033: DG:BC: Dentate gyrus basket cells ### 1013: DG:HIPP: Dentate gyrus HIPP cell, Dentate gyrus somatostatin-positive GABAergic peptidergic polymorphic cell ### 2004: CA3:PC-c: pyramidal cell in the portion of CA3 most proximal to the DG ### 3000: CA2:PC: CA2 pyramidal cell",1
Scharfman HE,8589793,,,10.1002/hipo.450050403,,,287,305,Electrophysiological diversity of pyramidal-shaped neurons at the granule cell layer/hilus border of the rat dentate gyrus recorded in vitro.,1995,Hippocampus,5,4,,
"Khazipov R, Congar P, Ben-Ari Y",8592201,,,,,,2126,2137,Hippocampal CA1 lacunosum-moleculare interneurons: modulation of monosynaptic GABAergic IPSCs by presynaptic GABAB receptors.,1995 Nov,J Neurophysiol,74,5,"4005: CA1:NGF-LM: CA1 lacunosum-moleculare interneuron, CA1 LM interneuron",1
"Miles R, Toth K, Gulyas AI, Hajos N, Freund TF",8607999,,,10.1016/S0896-6273(00)80101-4,,,815,823,Differences between somatic and dendritic inhibition in the hippocampus.,1996 Apr,Neuron,16,4,2030: CA3:BiC-ivy: CA3 dendritic inhibitory cell,1
"Deller T, Martinez A, Nitsch R, Frotscher M",8627369,,,,,,3322,3333,A novel entorhinal projection to the rat dentate gyrus: direct innervation of proximal dendrites and cell bodies of granule cells and GABAergic neurons.,1996 May 15,J Neurosci,16,10,,
"Gulyas AI, Hajos N, Freund TF",8627375,,,,,,3397,3411,Interneurons containing calretinin are specialized to control other interneurons  in the rat hippocampus.,1996 May 15,J Neurosci,16,10,"4056: CA1:SR_IS-1: CA1 calretinin-immunoreactive interneurons, CA1 CR-IR cells,  ### 4031: CA1:SO_IS-1: CA1 calretinin-immunoreactive interneurons, CA1 CR-IR cells, CA1 CR-containing inhibitory interneurons ### 1016: DG:IS-1: DG calretinin-immunoreactive interneurons",1
"Derrick BE, Martinez JL Jr",8632800,,,10.1038/381429a0,,,429,34,"""Associative, bidirectional modifications at the hippocampal mossy fibre-CA3 synapse.""",1996 May 30,Nature,381,6581,,
"Buckmaster PS, Wenzel HJ, Kunkel DD, Schwartzkroin PA",8698887,,,10.1002/(SICI)1096-9861(19960304)366:2&lt;270::AID-CNE7&gt;3.0.CO;2-2,,,271,292,Axon arbors and synaptic connections of hippocampal mossy cells in the rat in vivo.,1996 Mar 4,J Comp Neurol,366,2,"1002: DG:MC: Dentate gyrus mossy cell ### 1031: DG:quad_MC: ""Some cells (n = 6 ### 1031: DG:quad_MC: 43%)""",1
"Miettinen M, Koivisto E, Riekkinen P, Miettinen R",8720498,,,,,,113,122,Coexistence of parvalbumin and GABA in nonpyramidal neurons of the rat entorhinal cortex.,1996 Jan 8,Brain Res,706,1,,
"Ribak CE, Tong WM, Brecha NC",8731228,,,10.1002/(SICI)1096-9861(19960415)367:4&lt;595::AID-CNE9&gt;3.0.CO;2-#,,,595,606,"GABA plasma membrane transporters, GAT-1 and GAT-3, display different distributions in the rat hippocampus.",1996 Apr 15,J Comp Neurol,367,4,,
"Urban NN, Barrionuevo G",8753890,PMC6579001,,,,,4293,9,Induction of hebbian and non-hebbian mossy fiber long-term potentiation by distinct patterns of high-frequency stimulation. ,1996 Jul 1,J Neurosci,16,13,,
"Maccaferri G, McBain CJ",8757246,,,,,,5334,5343,Long-term potentiation in distinct subtypes of hippocampal nonpyramidal neurons.,1996 Sep 1,J Neurosci,16,17,"4054: CA1:PLP-RGC: CA1 radiatum giant cell, CA1 RG",1
"Hajos N, Acsady L, Freund TF",8758949,,,10.1111/j.1460-9568.1996.tb01604.x,,,1415,1431,Target selectivity and neurochemical characteristics of VIP-immunoreactive interneurons in the rat dentate gyrus.,1996 Jul,Eur J Neurosci,8,7,1008: DG:MOPP-NGF: Dentate gyrus VIP-positive neuron ### 1033: DG:BC: Dentate gyrus VIP-positive basket cell ### 2042: CA3:IS-3: CA3 VIP-positive neuron ### 1024: DG:VIP-SM: DG VIP-positive neurons ### 1017: DG:IS-3_proj: DG VIP-positive neurons ### 1018: DG:SG_IS-3: DG VIP-positive neurons ### 1019: DG:IS-3: DG VIP-positive neurons ### 1020: DG:H_IS-3: DG VIP-positive neurons ### 2031: CA3:SM_IS-3: DG VIP-positive neurons,1
"van Haeften T, Jorritsma-Byham B, Witter MP",8773257,,,10.1002/hipo.450050507,,,452,459,Quantitative morphological analysis of subicular terminals in the rat entorhinal  cortex.,1995,Hippocampus,5,5,,0
"Acsady L, Arabadzisz D, Freund TF",8783251,,,10.1016/0306-4522(95)00610-9,,,299,315,Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus.,1996 Jul,Neuroscience,73,2,"4056: CA1:SR_IS-1: CA1 vasoactive intestinal peptide-immunoreactive interneurons, CA1 VIP-containing cells, CA1 VIP-immunoreactive interneurons ### 4020: CA1:quad_IS-3: CA1 VIP-positive cell ### 4021: CA1:IS-2: CA1 vasoactive intestinal polypeptide-containing interneurons, CA1 VIP-immunoreactive interneurons ### 4044: CA1:SR_IS-1a: CA1 VIP-immunoreactive interneurons ### 4046: CA1:tri_IS_I: CA1 VIP-immunoreactive interneurons ### 4058: CA1:IS-1a: CA1 VIP-immunoreactive interneurons ### 4049: CA1:IS-1b: CA1 VIP-immunoreactive interneurons ### 4050: CA1:IS-1c: CA1 VIP-immunoreactive interneurons",1
"Acsady L, Gorcs TJ, Freund TF",8783252,,,10.1016/0306-4522(95)00609-5,,,317,334,Different populations of vasoactive intestinal polypeptide-immunoreactive interneurons are specialized to control pyramidal cells or interneurons in the hippocampus.,1996 Jul,Neuroscience,73,2,"4056: CA1:SR_IS-1: CA1 vasoactive intestinal peptide-positive interneurons, CA1 VIP-containing interneurons, CA1 VIP-immunoreactive interneurons ### 4020: CA1:quad_IS-3: CA1 vasoactive intestinal polypeptide-positive interneurons, CA1 VIP-immunoreactive interneurons, VlP-containing cell ### 4021: CA1:IS-2: CA1 vasoactive intestinal polypeptide-containing interneurons, CA1 VIP-positive interneurons ### 4058: CA1:IS-1a: CA1 VIP-immunoreactive interneurons",1
"Alvarez-Bolado G, Rodriguez-Sanchez P, Tejero-Diez P, Fairen A, Diez-Guerra FJ",8783271,,,,,,565,580,Neurogranin in the development of the rat telencephalon.,1996 Jul,Neuroscience,73,2,,
"Rasmussen T, Schliemann T, Sorensen JC, Zimmer J, West MJ",8786797,,,10.1016/0197-4580(95)02032-2,,,143,147,Memory impaired aged rats: no loss of principal hippocampal and subicular neurons.,1996 Jan-Feb,Neurobiol Aging,17,1,,0
"Rapp PR, Gallagher M",8790433,PMC38531,,10.1073/pnas.93.18.9926,,1,9926,9930,Preserved neuron number in the hippocampus of aged rats with spatial learning deficits.,1996 Sep 3,Proc Natl Acad Sci U S A,93,18,,0
"Liu Y, Fujise N, Kosaka T",8801119,,,,,,389,403,Distribution of calretinin immunoreactivity in the mouse dentate gyrus. I. General description.,1996 Mar,Exp Brain Res,108,3,,
"Halasy K, Buhl EH, Lorinczi Z, Tamas G, Somogyi P",8841829,,,10.1002/(SICI)1098-1063(1996)6:3&lt;306::AID-HIPO8&gt;3.0.CO;2-K,,,306,329,Synaptic target selectivity and input of GABAergic basket and bistratified interneurons in the CA1 area of the rat hippocampus.,1996,Hippocampus,6,3,,0
"Deuchars J, Thomson AM",8895869,,,10.1016/0306-4522(96)00251-5,,,1009,1018,CA1 pyramid-pyramid connections in rat hippocampus in vitro: dual intracellular recordings with biocytin filling. ,1996 Oct,Neuroscience,74,4,,
"Freund TF, Buzsaki G",8915675,,,10.1002/(SICI)1098-1063(1996)6:4&lt;347::AID-HIPO1&gt;3.0.CO;2-I,,,347,470,Interneurons of the hippocampus.,1996,Hippocampus,6,4,"1000: DG:GC: Dentate gyrus granule cell ### 1002: DG:MC: Dentate gyrus mossy cell ### 1008: DG:MOPP-NGF: Dentate gyrus MOPP cell ### 1009: DG:HICAP: Dentate gyrus HICAP cell ### 1010: DG:AA: Dentate gyrus axo-axonic cells, Dentate gyrus chandelier cells ### 1033: DG:BC: Dentate gyrus pyramidal basket cells, Dentate gyrus basket cells, Dentate gyrus VIP-containing basket cells, Dentate gyrus basket 1 cells, Dentate gyrus basket 2 cells ### 1013: DG:HIPP: Dentate gyrus HIPP cell ### 2000: CA3:PC-ab: CA3a pyramidal cell, CA3b pyramidal cell ### 2004: CA3:PC-c: CA3c pyramidal cell ### 2029: CA3:BC: CA3 basket cell, CA3 basket 1 cell, CA3 basket 2 cell ### 2028: CA3:AA: CA3 chandelier cell, CA3 axo-axonic cell ### 2030: CA3:BiC-ivy: CA3 bistratified cell ### 2020: CA3:TriC: CA3 horizontal trilaminar, CA3 trilaminar cell ### 4000: CA1:PC: CA1 pyramidal cell ### 4005: CA1:NGF-LM: CA1 stratum lacunosum-moleculare interneuron, CA1 LM interneuron ### 4013: CA1:BiC-TriC: radial trilaminar cell ### 4037: CA1:BC: CA1 basket, CA1 horizontal basket, CA1 SR basket ### 4036: CA1:AA: CA1 chandelier cell ### 4021: CA1:IS-2: CA1 IS-2 cells ### 4023: CA1:BP: CA1 back-projection neuron, CA1 backprojection neuron ### 4069: CA1:O-LM: CA1 O-LM cells ### 4026: CA1:BiC-ivy: CA1 bistratified cells ### 4028: CA1:SCA-SR-CB: CA1 stratum radiatum neuron ### 4035: CA1:TH-ORP-DP-OR: CA1 trilaminar horizontal ### 4039: CA1:BC-FSPTI: CA1 basket cell restricted to stratum oriens with horizontal dendrites ### 2024: CA3:TriC_rad: CA3 radial trilaminar cells ### 2007: CA3:quad_O-LM: CA3 O-LM cells ### 4007: CA1:CH: CA1 ChAT-positive cells",1
"Vezzani A, Monhemius R, Tutka P, Milani R, Samanin R",8931018,,,,,,551,557,Functional activation of somatostatin- and neuropeptide Y-containing neurons in the entorhinal cortex of chronically epileptic rats.,1996 Nov,Neuroscience,75,2,,
"Martinez A, Lubke J, Del Rio JA, Soriano E, Frotscher M",8946282,,,10.1002/(SICI)1096-9861(19961202)376:1&amp;lt;28::AID-CNE2&amp;gt;3.0.CO;2-Q,,,28,44,Regional variability and postsynaptic targets of chandelier cells in the hippocampal formation of the rat. ,1996 Dec 02,J Comp Neurol,376,1,,
"Gulyas AI, Freund TF",8953305,,,10.1002/(SICI)1098-1063(1996)6:5&lt;525::AID-HIPO5&gt;3.0.CO;2-H,,,525,534,Pyramidal cell dendrites are the primary targets of calbindin D28k-immunoreactive interneurons in the hippocampus.,1996,Hippocampus,6,5,2023: CA3:R-CB: CA3 calbindin D28k-immunoreactive type I interneurons ### 2022: CA3:CB: CA3 calbindin D28k-immunoreactive type I interneurons ### 4028: CA1:SCA-SR-CB: CA1 calbindin D28k-immunoreactive type I interneurons ### 4033: CA1:CB-SOSO: CA1 calbindin D28k-immunoreactive nonprincipal neurons ### 4048: CA1:bi_CB: CA1 Type I cells ### 4059: CA1:SR_CB: CA1 Type I cells,1
"Megias M, Verduga R, Fernandez-Viadero C, Crespo D",9030419,,,,,,112,120,Neurons co-localizing calretinin immunoreactivity and reduced nicotinamide adenine dinucleotide phosphate diaphorase (NADPH-d) activity in the hippocampus and dentate gyrus of the rat.,1997 Jan 2,Brain Res,744,1,,
"Acsady L, Katona I, Gulyas AI, Shigemoto R, Freund TF",9034894,,,,,,320,336,Immunostaining for substance P receptor labels GABAergic cells with distinct termination patterns in the hippocampus.,1997 Feb 17,J Comp Neurol,378,3,,
"Miettinen M, Pitkanen A, Miettinen R",9034897,,,,,,363,378,Distribution of calretinin-immunoreactivity in the rat entorhinal cortex: coexistence with GABA.,1997 Feb 17,J Comp Neurol,378,3,,
"Yanovsky Y, Sergeeva OA, Freund TF, Haas HL",9044377,,,,,,87,96,Activation of interneurons at the stratum oriens/alveus border suppresses excitatory transmission to apical dendrites in the CA1 area of the mouse hippocampus.,1997 Mar,Neuroscience,77,1,,
"Gloveli T, Schmitz D, Empson RM, Dugladze T, Heinemann U",9070741,,,10.1016/S0306-4522(96)00494-0,,,629,648,Morphological and electrophysiological characterization of layer III cells of the medial entorhinal cortex of the rat.,1997 Apr,Neuroscience,77,3,6092: EC:PC_III: MEC type 1 pyramidal cell ### 6038: EC:type_4_III: MEC type 4 local circuit cell ### 6087: EC:PL-BPN_III: MEC layer III type 3 pyramid-shaped cells ### 6072: EC:PC_III_nonspiny: EC Type 2 cells,1
"Rouse ST, Levey AI",9087520,,,,,,382,394,Muscarinic acetylcholine receptor immunoreactivity after hippocampal commissural/associational pathway lesions: evidence for multiple presynaptic receptor subtypes.,1997 Apr 14,J Comp Neurol,380,3,,
"Morales M, Bloom FE",9096150,,,,,,3157,3167,The 5-HT3 receptor is present in different subpopulations of GABAergic neurons in the rat telencephalon.,1997 May 1,J Neurosci,17,9,,
"Nomura T, Fukuda T, Aika Y, Heizmann CW, Emson PC, Kobayashi T, Kosaka T",9098569,,,10.1016/S0006-8993(96)01395-9,,,64,80,"Distribution of nonprincipal neurons in the rat hippocampus, with special reference to their dorsoventral difference.",1997 Mar 14,Brain Res,751,1,,0
"Sik A, Penttonen M, Buzsaki G",9104599,,,10.1111/j.1460-9568.1997.tb01634.x,,,573,588,Interneurons in the hippocampal dentate gyrus: an in vivo intracellular study.,1997 Mar,Eur J Neurosci,9,3,1033: DG:BC: Dentate gyrus HICAP-like cells,1
"Mott DD, Turner DA, Okazaki MM, Lewis DV",9151716,,,,,,3990,4005,Interneurons of the dentate-hilus border of the rat dentate gyrus: morphological  and electrophysiological heterogeneity.,1997 Jun 1,J Neurosci,17,11,"1004: DG:TML: Dentate gyrus total molecular layer cell ### 1005: DG:TML-MOLAX: Dentate gyrus total molecular layer cell ### 1006: DG:OML: Interneurons with outer molecular layer axons, OML cells ### 1009: DG:HICAP: Dentate gyrus IML cell ### 1033: DG:BC: Dentate gyrus inner molecular layer cells, Dentate gyrus IML cells ### 1034: DG:OML: DG total molecular layer cells; DG TML cells",1
"Geiger JR, Lubke J, Roth A, Frotscher M, Jonas P",9208867,,,10.1016/S0896-6273(00)80339-6,,,1009,1023,Submillisecond AMPA receptor-mediated signaling at a principal neuron-interneuron synapse.,1997 Jun,Neuron,18,6,1000: DG:GC: Dentate gyrus granule cell ### 1033: DG:BC: Dentate gyrus basket cells,1
"Cobb SR, Halasy K, Vida I, Nyiri G, Tamas G, Buhl EH, Somogyi P",9219929,,,,,,629,648,Synaptic effects of identified interneurons innervating both interneurons and pyramidal cells in the rat hippocampus.,1997 Aug,Neuroscience,79,3,,
"Blasco-Ibanez JM, Freund TF",9228528,,,,,,307,320,"Distribution, ultrastructure, and connectivity of calretinin-immunoreactive mossy cells of the mouse dentate gyrus.",1997,Hippocampus,7,3,,
"Kofler N, Kirchmair E, Schwarzer C, Sperk G",9259481,,,,,,129,132,Altered expression of NPY-Y1 receptors in kainic acid induced epilepsy in rats.,1997 Jul 18,Neurosci Lett,230,2,,
"Mulders WH, West MJ, Slomianka L",9268118,,,10.1002/(SICI)1096-9861(19970818)385:1&lt;83::AID-CNE5&gt;3.0.CO;2-8,,,83,94,"Neuron numbers in the presubiculum, parasubiculum, and entorhinal area of the rat.",1997 Aug 18,J Comp Neurol,385,1,,0
"Nomura T, Fukuda T, Aika Y, Heizmann CW, Emson PC, Kobayashi T, Kosaka T",9295210,,,10.1016/S0006-8993(97)00457-5,,,197,204,"Laminar distribution of non-principal neurons in the rat hippocampus, with special reference to their compositional difference among layers.",1997 Aug 1,Brain Res,764,02-Jan,,0
"Spruston N, Lubke J, Frotscher M",9300769,,,10.1002/(SICI)1096-9861(19970901)385:3&lt;427::AID-CNE7&gt;3.0.CO;2-5,,,427,440,Interneurons in the stratum lucidum of the rat hippocampus: an anatomical and electrophysiological characterization.,1997 Sep 1,J Comp Neurol,385,3,"2013: CA3:LC-1: CA3 spiny lucidum neuron, CA3 aspiny stratum lucidum neuron ### 2014: CA3:LC-2: CA3 spiny lucidum neuron, CA3 aspiny stratum lucidum neuron",1
"Dickson CT, Mena AR, Alonso A",9330357,,,10.1016/S0306-4522(97)00263-7,,,937,950,Electroresponsiveness of medial entorhinal cortex layer III neurons in vitro.,1997 Dec,Neuroscience,81,4,6017: EC:PC_III_sm: MEC layer III pyramidal cells,1
"Kerner JA, Standaert DG, Penney JB Jr, Young AB, Landwehrmeyer GB",9332723,,,,,,259,269,"Expression of group one metabotropic glutamate receptor subunit mRNAs in neurochemically identified neurons in the rat neostriatum, neocortex, and hippocampus.",1997 Sep,Brain Res Mol Brain Res,48,2,,
"Toth Z, Hollrigel GS, Gorcs T, Soltesz I",9334386,,,,,,8106,8117,Instantaneous perturbation of dentate interneuronal networks by a pressure wave-transient delivered to the neocortex.,1997 Nov 1,J Neurosci,17,21,,
"Hajos N, Mody I",9334415,,,,,,8427,8442,Synaptic communication among hippocampal interneurons: properties of spontaneous  IPSCs in morphologically identified cells.,1997 Nov 1,J Neurosci,17,21,4004: CA1:PPA_proj: CA1 R-LM cell ### 4076: CA1:PPA: CA1 R-LM cell H-0408 ### 4013: CA1:BiC-TriC: radial trilaminar cell ### 4069: CA1:O-LM: CA1 O-LM cells ### 4026: CA1:BiC-ivy: CA1 bistratified cells ### 4035: CA1:TH-ORP-DP-OR: CA1 trilaminar ### 4074: CA1:TriC_rad: CA1 radial trilaminar cell H-0414,1
