authors,pmid_isbn,pmcid,nihmsid,doi,citation_count,open_access,first_page,last_page,title,year,publication,volume,issue,type_mapping,packet
"Fitting S, Booze RM, Hasselrot U, Mactutus CF",19489004,,,10.1002/hipo.20648,,,469,480,Dose-dependent long-term effects of Tat in the rat hippocampal formation: a design-based stereological study.,2010 Apr,Hippocampus,20,4,,0
"Ascoli GA, Brown KM, Calixto E, Card JP, Galvan EJ, Perez-Rosello T, Barrionuevo G",19496174,PMC2827149,NIHMSID108801,10.1002/cne.22082,,1,677,695,Quantitative morphometry of electrophysiologically identified CA3b interneurons reveals robust local geometry and distinct cell classes.,2009 Aug 20,J Comp Neurol,515,6,"2005: CA3:LM-R: CA3 L-M interneuron, CA3 R cell, CA3 R interneuron ### 4005: CA1:NGF-LM: CA1 L-M interneuron",1
"Del Tongo C, Carretta D, Fulgenzi G, Catini C, Minciacchi D",19588159,,,10.1007/s00401-009-0567-3,,,803,812,Parvalbumin-positive GABAergic interneurons are increased in the dorsal hippocampus of the dystrophic mdx mouse.,2009 Dec,Acta Neuropathol,118,6,,
"Jinno S, Kosaka T",19655319,,,10.1002/hipo.20685,,,829,840,Stereological estimation of numerical densities of glutamatergic principal neurons in the mouse hippocampus.,2010 Jul,Hippocampus,20,7,,0
"Neddens J, Buonanno A",19655320,,,10.1002/hipo.20675,,,724,744,Selective populations of hippocampal interneurons express ErbB4 and their number  and distribution is altered in ErbB4 knockout mice.,2010 Jun,Hippocampus,20,6,,
"Routh BN, Johnston D, Harris K, Chitwood RA",19675296,,,10.1152/jn.00082.2009,,,2288,2302,Anatomical and electrophysiological comparison of CA1 pyramidal neurons of the rat and mouse.,2009 Oct,J Neurophysiol,102,4,,0
"Commons KG, Serock MR",19699779,,,10.1016/j.neulet.2009.08.042,,,188,192,Coincidence of neurokinin 1 receptor with the vesicular glutamate transporter 3 (VGLUT3) in the rat forebrain.,2009 Oct 30,Neurosci Lett,464,3,,
Klausberger T,19735288,,,10.1111/j.1460-9568.2009.06913.x,,,947,957,GABAergic interneurons targeting dendrites of pyramidal cells in the CA1 area of  the hippocampus.,2009 Sep,Eur J Neurosci,30,6,"4000: CA1:PC: CA1 pyramidal cell ### 4004: CA1:PPA_proj: CA1 perforant-path-associated cell ### 4006: CA1:PPA-SUB: CA1 perforant-path-associated cell ### 4012: CA1:NGF: CA1 neurogliaform cells ### 4023: CA1:BP: CA1 backprojection cell ### 4069: CA1:O-LM: CA1 O-LM cells ### 4026: CA1:BiC-ivy: CA1 bistratified cells, CA1 ivy cells ### 4035: CA1:TH-ORP-DP-OR: CA1 trilaminar, CA1 oriens retrohippocampal projection cells, CA1 double projection cells",1
"Daw MI, Tricoire L, Erdelyi F, Szabo G, McBain CJ",19741117,PMC2762613,NIHMSID148304,10.1523/JNEUROSCI.5760-08.2009,,1,11112,11122,Asynchronous transmitter release from cholecystokinin-containing inhibitory interneurons is widespread and target-cell independent.,2009 Sep 9,J Neurosci,29,36,"4013: CA1:BiC-TriC: bistratified cells, BSC, trilaminar cell",1
"Ujfalussy B, Kiss T, Erdi P",19750211,PMC2730574,,10.1371/journal.pcbi.1000500,,1,e1000500,,Parallel computational subunits in dentate granule cells generate multiple place  fields.,2009 Sep,PLoS Comput Biol,5,9,,0
