"source_id","target_id","subregion","parcel","CP_mean","CP_std"
4083,4041,"CA1","SO",0.000327263671873,0.000651504634664
6003,6040,"MEC","III",0.012788313732126,0.054713740624082
6006,6095,"MEC","II",0.000703622566826,0.000695547982817
6024,6082,"MEC","III",0.001514788148188,0.001457804912649
6078,6092,"LEC","III",0.001219620522018,0
6082,6018,"EC","I",0.00278377902117,0.014426277714142
6095,6021,"EC","VI",0.002424601033637,0.004834390563507
1041,1002,"DG","H",0.003757839155927,0.001256359634288
2013,2043,"CA3","SR",0.001933365717501,0.002151361825148
2022,2044,"CA3","SO",0.001243557620414,0
2046,2004,"CA3","SO",0.001128661011189,0.001550689520554
4015,4039,"CA1","SO",0.002243288102327,0.007655411057266
4015,4080,"CA1","SO",0.001278152702624,0.002817475337713
4020,4022,"CA1","SO",0.000234165585584,0.000543332601693
4020,4079,"CA1","SO",0.000362846325902,0.000433809322159
4023,4005,"CA1","SR",0.001658907529772,0
4028,4041,"CA1","SR",0.003126808145708,0.000679655683869
4041,4084,"CA1","SO",0.004672167583544,0
4055,4069,"CA1","SO",0.001766657210994,0.004258577623979
4056,4055,"CA1","SR",0.000474800686003,0.000536444541949
4068,4013,"CA1","SP",0.002320407871501,0
4069,4003,"CA1","SLM",0.002141179408542,0.005007710359262
4089,4076,"CA1","SLM",0.006975084089086,0.024814394775806
6019,6008,"MEC","III",0.002652902051827,0.0015469431395
6024,6017,"MEC","III",0.001601927131181,0.00156920070441
6033,6008,"MEC","III",0.004691578240672,0.008421348685335
6082,6008,"EC","II",0.000955871658463,0.001851098501778
6095,6095,"EC","IV",0.001716926338976,0.006453142766763
1006,1006,"DG","SMo",0.000451152972594,0.000292519295706
1041,1004,"DG","H",0.001635814019712,0
2000,2023,"CA3","SR",0.006583845952862,0.007752056284948
2008,2028,"CA3","SLM",0.014942497952302,0
2009,2014,"CA3","SR",0.001486954528805,0.001503526890076
2019,2000,"CA3","SL",0.000131286037344,0.0001952342532
2021,2043,"CA3","SO",0.002121847199536,0.002646045056504
2022,2028,"CA3","SO",0.005324705300069,0
2036,2014,"CA3","SL",0.003813967102213,0.010981789351759
2045,2036,"CA3","SR",0.00208952764032,0.000518886368819
4000,4066,"CA1","SO",0.001244288308274,0.002259977702727
4005,4036,"CA1","SR",0.00252023801136,0.001510004915258
4015,4054,"CA1","SR",0.002658361011012,0.006049253472354
4020,4036,"CA1","SO",0.000360131973549,0.000522873107055
4023,4039,"CA1","SO",0.006585673488753,0.01813554588059
4023,4069,"CA1","SO",0.002871429796372,0.001709982279127
4041,4013,"CA1","SO",0.0046331174673,0
4041,4023,"CA1","SO",0.005646857072438,0
4041,4028,"CA1","SR",0.001166371547645,0.000982484571561
4041,4081,"CA1","SP",0.001444486053842,0.002687964771186
4055,4055,"CA1","SP",0.000881273978196,0.001695701593691
4080,4023,"CA1","SP",0.000901673571699,0.003044759110717
4080,4054,"CA1","SR",0.003360645873328,0.006261304431011
4080,4091,"CA1","SP",0.00125560587666,0.005046288394085
4083,4036,"CA1","SR",0.001455828582419,0.001988371942128
4089,4089,"CA1","SO",0.004748885084133,0.013715033791592
6005,6092,"EC","I",0.000675278006854,0.001413989927095
6023,6018,"MEC","II",0.000266289932895,0
6082,6095,"EC","II",0.000867460916971,0.001790299478244
2009,2000,"CA3","SLM",0.016013253099935,0.010235507481273
2035,2036,"CA3","SL",0.009519681693342,0.007263698592485
4003,4083,"CA1","SO",0.000508739315879,0.000331322209927
4015,4091,"CA1","SR",0.001620266177261,0.004732348399246
4023,4006,"CA1","SR",0.002266604640999,0
4023,4055,"CA1","SR",0.002173190966536,0.001252684013377
4041,4000,"CA1","SR",0.001214729759166,0.000931844722636
4054,4020,"CA1","SO",0.00024416178518,0.001484133218866
4089,4081,"CA1","SO",0.001805561165178,0.006116306775639
6002,6006,"MEC","III",0.00425767916295,0.003802417768992
6002,6017,"MEC","III",0.000900119994418,0.001987160718333
6002,6092,"MEC","I",0.000278295840879,8.31799294515412E-05
6002,6094,"MEC","I",0.00356413367399,0.018788259096084
6005,6007,"EC","I",0.000725481060569,0.001410817163316
6007,6005,"LEC","II",0.000502717709911,0.000782361074193
6008,6095,"MEC","III",0.001295100384412,0.001476731201544
6025,6007,"LEC","II",0.000888613227605,0.001366305355744
6038,6085,"MEC","I",0.001634676275588,0
6094,6017,"EC","II",0.006964257014867,0.040133471712965
1004,1035,"DG","SMo",0.002041306348386,0.001797251949886
1026,1000,"DG","SMo",0.003217640483565,0.00205265826053
1040,1026,"DG","SMi",0.005537780034891,0.001712415421527
2013,2044,"CA3","SL",0.00125618212162,0.00092607243245
2022,2035,"CA3","SO",0.004192484625931,0
2023,2036,"CA3","SR",0.005481726185732,0.008374712300373
2035,2035,"CA3","SP",0.00716213046645,0
2045,2036,"CA3","SP",0.002964919716548,0.000831773042814
