Authors,Title,Journal/Book,Year,PMID/ISBN,Cell Identifier,Name of file containing figure,Figure/Table,Quote reference id,Representative?,NMO_ID,Interpretation notes figures,New?,Notes,copied to portal folder,Ordering
"Cossart R, Petanjek Z, Dumitriu D, Hirsch JC, Ben-Ari Y, Esclapez M, Bernard C",Interneurons targeting similar layers receive synaptic inputs with similar kinetics,Hippocampus,2006,16435315,4101,Cossart-Bernard-2006-408-v16-Hippocampus-Fig1a_166T1-Cell4101.jpeg,figure,750114,,NMO_02339,,,,,727
"Parra P, Gulyás AI, Miles R",How many subtypes of inhibitory cells in the hippocampus?,Neuron,1998,9620702,4102,Parra-Miles-1998-983-Neuron-Fig1B-Cell4102.jpeg,figure,630626,,not yet in database,,,,,728
"Cossart R, Petanjek Z, Dumitriu D, Hirsch JC, Ben-Ari Y, Esclapez M, Bernard C",Interneurons targeting similar layers receive synaptic inputs with similar kinetics,Hippocampus,2006,16435315,4102,Cossart-Bernard-2006-408-v16-Hippocampus-Fig1a_119T3-Cell4102.jpeg,figure,630628,,NMO_02326,,,,,729
"Cossart R, Petanjek Z, Dumitriu D, Hirsch JC, Ben-Ari Y, Esclapez M, Bernard C",Interneurons targeting similar layers receive synaptic inputs with similar kinetics,Hippocampus,2006,16435315,4102,Cossart-Bernard-2006-408-v16-Hippocampus-Fig1a_122T3-Cell4102.jpeg,figure,750116,,NMO_02328,,,,,729
"Cossart R, Petanjek Z, Dumitriu D, Hirsch JC, Ben-Ari Y, Esclapez M, Bernard C",Interneurons targeting similar layers receive synaptic inputs with similar kinetics,Hippocampus,2006,16435315,4102,Cossart-Bernard-2006-408-v16-Hippocampus-Fig1a_131T3-Cell4102.jpeg,figure,750118,,NMO_02333,,,,,729
"Bell LA, Bell KA, McQuiston AR",Synaptic muscarinic response types in hippocampal CA1 interneurons depend on different levels of presynaptic activity and different muscarinic receptor subtypes,Neuropharmacology,2013,23747570,4102,Bell-McQuiston-2013-160-v73-Neuropharmacology-Fig8F-Cell4102.jpeg,figure,630634,1,NMO_34310,,,,,730
"Parra P, Gulyás AI, Miles R",How many subtypes of inhibitory cells in the hippocampus?,Neuron,1998,9620702,4107,Parra-Miles-1998-983-Neuron-Fig1B-Cell4107.jpeg,figure,630636,,not yet in database,,,,,731
"Leão RN, Mikulovic S, Leão KE, Munguba H, Gezelius H, Enjin A, Patra K, Eriksson A, Loew LM, Tort AB, Kullander K",OLM interneurons differentially modulate CA3 and entorhinal inputs to hippocampal CA1 neurons,Nature Neuroscience,2012,23042082,4107,Leao-Kullander-2012-1524-NatNeurosci-Fig2c-Cell4107.jpeg,figure,630642,,authors contacted,,,,,732
Ali AB,CB1 modulation of temporally distinct synaptic facilitation among local circuit interneurons mediated by N-type calcium channels in CA1,Journal of Neurophysiology,2011,21123660,4107,Ali--2011-1051-v105-JNeurophysiol-Fig1A-Cell4107.jpeg,figure,630650,,not yet in database,,,,,733
Ali AB,CB1 modulation of temporally distinct synaptic facilitation among local circuit interneurons mediated by N-type calcium channels in CA1,Journal of Neurophysiology,2011,21123660,4107,Ali--2011-1051-v105-JNeurophysiol-Fig3B_blue-Cell4107.jpeg,figure,630652,,not yet in database,,,,,
"Pawelzik H, Hughes DI, Thomson AM",Physiological and morphological diversity of immunocytochemically defined parvalbumin- and cholecystokinin-positive interneurones in CA1 of the adult rat hippocampus,The Journal of Comparative Neurology,2002,11807843,4099,Pawelzik-Thomson-2002-346-JCompNeurol-Fig10-CA1_(+)2223p-SUB_111-EC_000011_dPC.jpeg,figure,630655,,not yet in database,,,,,450
"Pawelzik H, Hughes DI, Thomson AM",Physiological and morphological diversity of immunocytochemically defined parvalbumin- and cholecystokinin-positive interneurones in CA1 of the adult rat hippocampus,The Journal of Comparative Neurology,2002,11807843,4033,Pawelzik-Thomson-2002-346-JCompNeurol-Fig1B-CA1_0003_CB-SOSO.jpeg,figure,630657,,,,,,,464
"Ali AB, Todorova M",Asynchronous release of GABA via tonic cannabinoid receptor activation at identified interneuron synapses in rat CA1,European Journal of Neuroscience,2010,20345910,4107,Ali-Todorova-2010-1196-EJN-Fig2A-Cell4107.jpeg,figure,630658,,not yet in database,,,,,734
"Pawelzik H, Hughes DI, Thomson AM",Physiological and morphological diversity of immunocytochemically defined parvalbumin- and cholecystokinin-positive interneurones in CA1 of the adult rat hippocampus,The Journal of Comparative Neurology,2002,11807843,4080,Pawelzik-Thomson-2002-346-JCompNeurol-Fig1AB-CA1_0333_BiC.jpeg,figure,630659,,,,,,,461
"Ali AB, Todorova M",Asynchronous release of GABA via tonic cannabinoid receptor activation at identified interneuron synapses in rat CA1,European Journal of Neuroscience,2010,20345910,4107,Ali-Todorova-2010-1196-EJN-Fig3Aa-Cell4107.jpeg,figure,630660,,not yet in database,,,,,735
"Pawelzik H, Hughes DI, Thomson AM",Physiological and morphological diversity of immunocytochemically defined parvalbumin- and cholecystokinin-positive interneurones in CA1 of the adult rat hippocampus,The Journal of Comparative Neurology,2002,11807843,4036,Pawelzik-Thomson-2002-346-JCompNeurol-Fig1A-CA1_2232_AA.jpeg,figure,630661,,,,,,,462
"Lee SH, Földy C, Soltesz I",Distinct endocannabinoid control of GABA release at perisomatic and dendritic synapses in the hippocampus,Journal of Neuroscience,2010,20534847,4105,Lee-Soltesz-2010-7993-JNeurosci-Fig1A-Cell4105.jpeg,figure,630662,1,not yet in database,,,,,736
"Pawelzik H, Hughes DI, Thomson AM",Physiological and morphological diversity of immunocytochemically defined parvalbumin- and cholecystokinin-positive interneurones in CA1 of the adult rat hippocampus,The Journal of Comparative Neurology,2002,11807843,4079,Pawelzik-Thomson-2002-346-JCompNeurol-Fig1B-CA1_2232_BC-CCK.jpeg,figure,630663,,,,,,,465
"Lee SY, Földy C, Szabadics J, Soltesz I",Cell-type-specific CCK2 receptor signaling underlies the cholecystokinin-mediated selective excitation of hippocampal parvalbumin-positive fast-spiking basket cells,Journal of Neuroscience,2011,21795548,4105,Lee-Soltesz-2011-10993-JNeurosci-Fig1B-Cell4105.jpeg,figure,630668,,not yet in database,,,,,737
"Mott DD, Turner DA, Okazaki MM, Lewis DV",Interneurons of  the dentate-hilus border of the rat dentate gyrus: Morphological and electrophysiological heterogeneity.,Journal of Neuroscience,1997,9151716,1083,Mott-Lewis-1997-3990-JNeurosci-Fig3C.jpeg,figure,630669,,NMO_00177,,,,,443
"Cea-del Rio CA, Lawrence JJ, Erdelyi F, Szabo G, McBain CJ",Cholinergic modulation amplifies the intrinsic oscillatory properties of CA1 hippocampal cholecystokinin-positive interneurons,Journal of Physiology,2011,21115639,4105,Cea-del Rio-McBain-2011-609-JPhysiol-Fig2B-Cell4105.jpeg,figure,630674,,authors contacted,,,,,738
"Krook-Magnuson E, Varga C, Lee SH, Soltesz I",New dimensions of interneuronal specialization unmasked by principal cell heterogeneity,Trends in Neuroscience,2012,22119146,4105,KrookMagnuson-Soltesz-2012-167-TINS-Fig1f-Cell4105.jpeg,figure,630676,,review,,,,,739
"Bartos M, Elgueta C",Functional characteristics of parvalbumin- and cholecystokinin-expressing basket cells,Journal of Physiology,2012,22250212,4105,Bartos-Elgueta-2012-669-JPhysiol-Fig1B-Cell4105.jpeg,figure,630678,,review,,,,,740
"Cea-del Rio CA, McBain CJ, Pelkey KA",An update on cholinergic regulation of cholecystokinin-expressing basket cells,Journal of Physiology,2012,22199168,4105,Cea-del Rio-Pelkey-2012-695-JPhysiol-Fig1B-Cell4105.jpeg,figure,630680,,review,,,,,741
"Parra P, Gulyás AI, Miles R",How many subtypes of inhibitory cells in the hippocampus?,Neuron,1998,9620702,4104,Parra-Miles-1998-983-Neuron-Fig1B-Cell4104.jpeg,figure,630682,,not yet in database,,,,,742
"McQuiston AR, Madison DV",Muscarinic receptor activity has multiple effects on the resting membrane potentials of CA1 hippocampal interneurons,Journal of Neuroscience,1999,10407010,4104,McQuiston-Madison-1999-5693-JNeurosci-Fig8A-Cell4104.jpeg,figure,630688,,authors contacted,,,,,743
"Cossart R, Petanjek Z, Dumitriu D, Hirsch JC, Ben-Ari Y, Esclapez M, Bernard C",Interneurons targeting similar layers receive synaptic inputs with similar kinetics,Hippocampus,2006,16435315,4104,Cossart-Bernard-2006-408-v16-Hippocampus-Fig1a_125T1-Cell4104.jpeg,figure,630690,,NMO_02329,,,,,744
"Cossart R, Petanjek Z, Dumitriu D, Hirsch JC, Ben-Ari Y, Esclapez M, Bernard C",Interneurons targeting similar layers receive synaptic inputs with similar kinetics,Hippocampus,2006,16435315,4104,Cossart-Bernard-2006-408-v16-Hippocampus-Fig1a_174T1-Cell4104.jpeg,figure,750120,,NMO_02342,,,,,744
"Cossart R, Petanjek Z, Dumitriu D, Hirsch JC, Ben-Ari Y, Esclapez M, Bernard C",Interneurons targeting similar layers receive synaptic inputs with similar kinetics,Hippocampus,2006,16435315,4104,Cossart-Bernard-2006-408-v16-Hippocampus-Fig1a_75T1-Cell4104.jpeg,figure,630692,,NMO_02653,,,,,745
"Daw MI, Tricoire L, Erdelyi F, Szabo G, McBain CJ",Asynchronous transmitter release from cholecystokinin-containing inhibitory interneurons is widespread and target-cell independent,Journal of Neuroscience,2009,19741117,4104,Daw-McBain-2009-11112-JNeurosci-Fig1D-Cell4104.jpeg,figure,630694,,authors contacted,,,,,746
"Klausberger T, Somogyi P",Neuronal diversity and temporal dynamics: the unity of hippocampal circuit operations,Science,2008,18599766,4099,Klausberger-Somogyi-2008-53-Science-FigS1.jpeg,figure,630697,,not yet in database,,,,,363
"Camiré O, Topolnik L",Functional compartmentalisation and regulation of postsynaptic Ca2+ transients in inhibitory interneurons,Cell Calcium,2012,22656961,4104,Camire-Topolnik-2012-339-v52-CellCalcium-Fig1D-Cell4104.jpeg,figure,630698,,not yet in database,,,,,747
"Klausberger T, Somogyi P",Neuronal diversity and temporal dynamics: the unity of hippocampal circuit operations,Science,2008,18599766,4098,Klausberger-Somogyi-2008-53-Science-FigS1.jpeg,figure,630699,,not yet in database,,,,,363
"Bell LA, Bell KA, McQuiston AR",Synaptic muscarinic response types in hippocampal CA1 interneurons depend on different levels of presynaptic activity and different muscarinic receptor subtypes,Neuropharmacology,2013,23747570,4104,Bell-McQuiston-2013-160-v73-Neuropharmacology-Fig8I-Cell4104.jpeg,figure,630704,1,NMO_34312 ,,,,,748
