source_id,target_id,subregion,parcel,NPS_mean,NPS_std
1027,1027,DG,SMi,0.007351424,0.001597232
1027,1035,DG,H,0.014065304,0.004884376
1027,1035,DG,SG,0.003743485,0.00148509
1027,1035,DG,SMi,0.010609826,0.002730136
1027,1036,DG,H,0.037138548,0.005057455
1027,1036,DG,SG,0.006292956,0.00101718
1027,1036,DG,SMi,0.020085917,0.001584413
1027,1040,DG,SG,0.00218479,0.000353145
1027,1040,DG,SMi,0.007982651,0.000629686
1027,1041,DG,H,0.022500124,0.003064023
1027,1041,DG,SMi,0.015642826,0.001233934
1027,1043,DG,H,0.047808218,0.00651043
1027,1043,DG,SG,0.002891961,0.00046745
1027,1043,DG,SMi,0.00796313,0.000628146
1035,1006,DG,SG,0.009338029,0.003878887
1035,1009,DG,SG,0.012278979,0.00588308
1035,1010,DG,SG,0.015206814,0.006022381
1035,1035,DG,SG,0.016447713,0.008828234
1035,1036,DG,SG,0.027649301,0.01095
1035,1040,DG,SG,0.009599291,0.003801624
1036,1006,DG,SG,0.01178555,0.001476935
1036,1009,DG,SG,0.015497329,0.004178908
1036,1010,DG,SG,0.019192558,0
1036,1035,DG,SG,0.020758698,0.007520682
1036,1036,DG,SG,0.034896251,0
1036,1040,DG,SG,0.012115289,0
1040,1000,DG,SMi,0.006658964,0.000634114
1040,1001,DG,SMi,0.005972876,0.002018754
1040,1002,DG,H,0.021937605,0.001479698
1040,1004,DG,H,0.009333906,0
1040,1004,DG,SMi,0.002675019,0
1040,1005,DG,H,0.007928385,0.003492833
1040,1005,DG,SMi,0.005430737,0.0016442
1040,1006,DG,H,0.005285005,0.00319842
1040,1006,DG,SG,0.004807029,0.000602405
1040,1006,DG,SMi,0.002344729,0.00025174
1040,1009,DG,H,0.006218256,0.000874401
1040,1009,DG,SG,0.00632097,0.001704471
1040,1009,DG,SMi,0.004397091,0.001546586
1040,1010,DG,H,0.008859347,0
1040,1010,DG,SG,0.00782816,0
1040,1010,DG,SMi,0.006689653,0
1040,1013,DG,H,0.016480506,0.001116435
1040,1026,DG,H,0.016197364,1.98419E-05
1040,1026,DG,SG,0.012009384,0.001473745
1040,1026,DG,SMi,0.006064995,0.001095855
1040,1027,DG,H,0.01448686,0.0054154
1040,1027,DG,SG,0.00758705,0.000975876
1040,1027,DG,SMi,0.003582565,0.000725266
1040,1035,DG,H,0.007082452,0.002262485
1040,1035,DG,SG,0.00846695,0.003067497
1040,1035,DG,SMi,0.00517048,0.001266419
1040,1036,DG,H,0.018700767,0
1040,1036,DG,SG,0.014233301,0
1040,1036,DG,SMi,0.009788458,0
1040,1040,DG,SG,0.004941521,0
1040,1040,DG,SMi,0.00389018,0
1040,1041,DG,H,0.011329726,0
1040,1041,DG,SMi,0.007623209,0
1040,1043,DG,H,0.024073379,0
1040,1043,DG,SG,0.006540989,0
1040,1043,DG,SMi,0.003880667,0
1041,1002,DG,H,0.007240073,0.000488345
1041,1004,DG,H,0.003080471,0
1041,1005,DG,H,0.002616607,0.001152741
1041,1006,DG,H,0.001744212,0.001055575
1041,1009,DG,H,0.002052212,0.000288579
1041,1010,DG,H,0.002923852,0
1041,1013,DG,H,0.005439065,0.000368457
1041,1026,DG,H,0.00534562,6.54844E-06
1041,1027,DG,H,0.004781102,0.001787246
1041,1035,DG,H,0.002337423,0.000746688
1041,1036,DG,H,0.006171818,0
1041,1041,DG,H,0.003739152,0
1041,1043,DG,H,0.007944943,0
1043,1000,DG,SMi,0.000791524,7.53746E-05
1043,1001,DG,SMi,0.000709972,0.000239961
1043,1002,DG,H,0.028335034,0.001911206
1043,1004,DG,H,0.012055853,0
1043,1004,DG,SMi,0.000317969,0
1043,1005,DG,H,0.010240455,0.004511411
1043,1005,DG,SMi,0.00064553,0.000195439
1043,1006,DG,H,0.006826215,0.004131141
1043,1006,DG,SMi,0.000278709,2.99233E-05
1043,1009,DG,H,0.008031619,0.001129393
1043,1009,DG,SMi,0.000522665,0.000183836
1043,1010,DG,H,0.011442904,0
1043,1010,DG,SMi,0.000795172,0
1043,1013,DG,H,0.02128654,0.001442009
1043,1026,DG,H,0.020920828,2.56282E-05
1043,1026,DG,SMi,0.000720922,0.00013026
1043,1027,DG,H,0.018711508,0.006994636
1043,1027,DG,SMi,0.000425845,8.62094E-05
1043,1035,DG,H,0.009147832,0.002922269
1043,1035,DG,SMi,0.000614594,0.000150534
1043,1036,DG,H,0.024154272,0
1043,1036,DG,SMi,0.001163515,0
1043,1040,DG,SMi,0.00046241,0
1043,1041,DG,H,0.014633693,0
1043,1041,DG,SMi,0.00090614,0
1043,1043,DG,H,0.031093641,0
1043,1043,DG,SMi,0.000461279,0
2001,2000,CA3,SL,0.002526306,0.000397792
2001,2004,CA3,SL,0.006488753,0.001021717
2001,2005,CA3,SL,0.002035245,0.000320469
2001,2013,CA3,SL,0.004014677,0.001026135
2001,2014,CA3,SL,0.0047091,0.002520818
2001,2019,CA3,SL,0.012803502,0.002838853
2001,2028,CA3,SL,0.007250958,0.001141734
2001,2035,CA3,SL,0.003105404,0.000488976
2001,2036,CA3,SL,0.00311744,0.001750066
2001,2043,CA3,SL,0.005840256,0.000919605
2001,2044,CA3,SL,0.001465603,0.000230773
2001,2045,CA3,SL,0.008100185,0.001275453
2001,2046,CA3,SL,0.00207264,0.000545306
2001,2049,CA3,SL,0.00191966,0.000302269
2004,2000,CA3,SO,0.011728819,0
2004,2000,CA3,SR,0.00456017,0
2004,2001,CA3,SR,0.000982514,2.7921E-05
2004,2004,CA3,SO,0.010033865,0
2004,2004,CA3,SR,0.009274559,0
2004,2005,CA3,SR,0.000905439,0
2004,2008,CA3,SR,0.008629899,0
2004,2009,CA3,SO,0.020162677,0
2004,2013,CA3,SR,0.004915464,0.001577329
2004,2014,CA3,SR,0.003896902,0.001473179
2004,2020,CA3,SO,0.021177975,0.003091078
2004,2021,CA3,SO,0.018101495,0.005178453
2004,2022,CA3,SO,0.008975441,0
2004,2023,CA3,SR,0.012291998,0.008991196
2004,2028,CA3,SO,0.008662225,0
2004,2028,CA3,SR,0.003457427,0
2004,2035,CA3,SO,0.004937225,0
2004,2035,CA3,SR,0.00578168,0
2004,2036,CA3,SR,0.00581371,9.56948E-05
2004,2043,CA3,SO,0.005606371,0
2004,2043,CA3,SR,0.004251509,0
2004,2044,CA3,SO,0.000668017,0
2004,2044,CA3,SR,0.005635456,0
2004,2045,CA3,SO,0.0054101,0
2004,2045,CA3,SR,0.005115324,0
2004,2046,CA3,SO,0.001397451,0.000130186
2004,2046,CA3,SR,0.002808831,2.78523E-05
2004,2047,CA3,SO,0.010277213,0.002830995
2004,2049,CA3,SO,0.003376393,0
2004,2049,CA3,SR,0.00152075,0
2005,2000,CA3,SLM,0.180817908,0
