source_id,target_id,subregion,parcel,NC_mean,NC_std
1026,1026,DG,SMi,1.401487462,0.47216617
1026,1027,DG,H,6.27812546,8.506024826
1026,1027,DG,SG,0.759078043,0.863429971
1026,1027,DG,SMi,1.166240921,0.375403307
1026,1027,DG,SMo,1.501341464,0.731502417
1026,1035,DG,H,4.078177054,5.534875442
1026,1035,DG,SG,0.95268391,0.560512035
1026,1035,DG,SMi,1.641272778,0.495093306
1026,1035,DG,SMo,4.608738964,3.023204521
1026,1036,DG,H,9.433729036,11.29440671
1026,1036,DG,SG,1.410362375,0.632793383
1026,1036,DG,SMi,2.842929622,0.492493972
1026,1036,DG,SMo,5.475613578,1.140910898
1026,1040,DG,SG,0.874174331,0.364357808
1026,1040,DG,SMi,1.322791965,0.224971863
1026,1041,DG,H,3.893546934,2.98874141
1026,1041,DG,SMi,2.10487013,0.360421707
1026,1041,DG,SMo,2.838209749,0.573304542
1026,1043,DG,H,7.13808242,4.992643142
1026,1043,DG,SG,0.75752486,0.323520621
1026,1043,DG,SMi,1.141494915,0.19528588
1026,1043,DG,SMo,1.090874099,0.221536962
1026,2000,CA3,SL,0.922650319,0.510442298
1026,2000,CA3,SO,6.999589732,4.798322639
1026,2000,CA3,SP,0.901786309,2.189232367
1026,2004,CA3,SL,1.807428108,0.981345587
1026,2004,CA3,SO,4.692760178,2.77075202
1026,2004,CA3,SP,1.987227297,4.171299712
1026,2005,CA3,SL,1.476137313,0.818335619
1026,2009,CA3,SO,4.282931864,1.924967898
1026,2013,CA3,SL,1.741575203,1.177183194
1026,2014,CA3,SL,1.667938966,2.937566852
1026,2019,CA3,SL,2.978200826,1.556524665
1026,2019,CA3,SP,1.227202477,2.266247006
1026,2020,CA3,SO,2.72434757,4.614362306
1026,2021,CA3,SO,5.828039573,9.772921783
1026,2022,CA3,SO,2.779115719,1.284281123
1026,2028,CA3,SL,1.775523595,0.881345322
1026,2028,CA3,SO,3.049798308,1.57562806
1026,2028,CA3,SP,1.250850607,2.562949906
1026,2035,CA3,SL,1.020878154,0.544418743
1026,2035,CA3,SO,2.688041718,1.664791426
1026,2035,CA3,SP,0.582669795,0.510996638
1026,2036,CA3,SL,1.204070671,0.938401124
1026,2036,CA3,SP,0.945493276,2.067626178
