# ----------------------------------------
# All Web Site Data
# Landing Pages
# 20150101-20230701
# ----------------------------------------

Landing Page,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
/php/property_page_connectivity.php?id1_neuron=6003&val1_property=CA3_SLM&color1=red&id2_neuron=2005&val2_property=CA3_SLM&color2=violetSoma&connection_type=2&known_conn_flag=0&axonic_basket_flag=0&page=1,4,0.00%,0,100.00%,1.00,00:00:00,0.00%,0,$0.00
/php/property_page_fp.php?id_neuron=2000&parameter=ASP.&count=3&page=1,4,0.00%,0,50.00%,4.75,00:07:39,0.00%,0,$0.00
/php/property_page_markers.php?id_neuron=4000&val_property=CB&color=positive-negative-weak_positive&page=markers,4,0.00%,0,25.00%,2.50,00:01:07,0.00%,0,$0.00
/php/property_page_morphology.php?id_neuron=1000&val_property=DG_SMo&color=blue&page=1,4,0.00%,0,75.00%,2.50,00:02:48,0.00%,0,$0.00
/php/property_page_morphology.php?id_neuron=2000&val_property=CA3_SR&color=blue&page=1,4,0.00%,0,100.00%,1.00,00:00:00,0.00%,0,$0.00
/php/synaptic_mod_sum.php?pre_id=1000&post_id=1041,4,50.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
/php/view_fp_image.php?image=Ali-Thomson-1998-185-JPhysiol-Fig2A-Cell4089-ASP..jpeg,4,0.00%,0,50.00%,2.75,00:04:36,0.00%,0,$0.00
/phpmain/,4,25.00%,1,0.00%,10.00,00:14:09,0.00%,0,$0.00
/synapse_probabilities/php/synapse_probabilities_noc.php,4,0.00%,0,25.00%,19.00,00:59:40,0.00%,0,$0.00
/synapse_probabilities/php/synapse_probabilities_ps.php,4,0.00%,0,25.00%,35.50,00:43:55,0.00%,0,$0.00
/devur2/property_page_phases.php?id_neuron=2000,3,0.00%,0,66.67%,1.67,00:00:33,0.00%,0,$0.00
/php_bak_20221004/morphology.php,3,33.33%,1,33.33%,2.33,00:00:48,0.00%,0,$0.00
/php_v2/firing_patterns.php,3,0.00%,0,33.33%,3.67,00:01:27,0.00%,0,$0.00
/php_v2/property_page_phases.php?id_neuron=4168&val_property=theta,3,0.00%,0,0.00%,4.67,00:05:48,0.00%,0,$0.00
/php_v2/property_page_synpro.php,3,0.00%,0,0.00%,6.00,00:06:16,0.00%,0,$0.00
/php_v2/synapse_probabilities_noc.php,3,0.00%,0,0.00%,6.33,00:12:54,0.00%,0,$0.00
/php_v2/synaptome_modeling.php,3,0.00%,0,33.33%,17.67,00:40:04,0.00%,0,$0.00
/php/ephys.php,3,66.67%,2,33.33%,3.00,00:01:33,0.00%,0,$0.00
/php/firing_patterns.php?show_only=15,3,0.00%,0,33.33%,2.00,00:00:13,0.00%,0,$0.00
/php/property_page_connectivity.php?id1_neuron=1000&val1_property=DG_H&color1=red&id2_neuron=1027&val2_property=DG_H&color2=violetSoma&connection_type=2&known_conn_flag=0&axonic_basket_flag=0&page=1,3,0.00%,0,100.00%,1.00,00:00:00,0.00%,0,$0.00
/php/property_page_connectivity.php?id1_neuron=2000&val1_property=CA1_SR&color1=red&id2_neuron=4000&val2_property=CA1_SR&color2=blueSoma&connection_type=2&known_conn_flag=1&axonic_basket_flag=0&page=1,3,33.33%,1,33.33%,9.33,00:22:51,0.00%,0,$0.00
/php/property_page_connectivity.php?id1_neuron=2036&val1_property=CA3_SR&color1=violetSoma&id2_neuron=2001&val2_property=CA3_SR&color2=blueSoma&connection_type=1&known_conn_flag=1&axonic_basket_flag=0&page=1,3,0.00%,0,100.00%,1.00,00:00:00,0.00%,0,$0.00
/php/property_page_connectivity.php?id1_neuron=4022&val1_property=CA1_SO&color1=violet&id2_neuron=4069&val2_property=CA1_SO&color2=blueSoma&connection_type=1&known_conn_flag=1&axonic_basket_flag=0&page=1,3,66.67%,2,66.67%,1.33,00:00:09,0.00%,0,$0.00
/php/property_page_connectivity.php?id1_neuron=4069&val1_property=CA1_SLM&color1=red&id2_neuron=4078&val2_property=CA1_SLM&color2=blue&connection_type=1&known_conn_flag=1&axonic_basket_flag=0&page=1,3,0.00%,0,33.33%,2.33,00:03:03,0.00%,0,$0.00
/php/property_page_connectivity.php?id1_neuron=6005&val1_property=DG_SMo&color1=red&id2_neuron=1000&val2_property=DG_SMo&color2=blue&connection_type=2&known_conn_flag=1&axonic_basket_flag=0&page=1,3,33.33%,1,0.00%,3.67,00:01:07,0.00%,0,$0.00
/php/property_page_connectivity.php?id1_neuron=6017&val1_property=CA1_SLM&color1=red&id2_neuron=4000&val2_property=CA1_SLM&color2=blue&connection_type=2&known_conn_flag=1&axonic_basket_flag=0&page=1,3,0.00%,0,66.67%,3.67,00:00:44,0.00%,0,$0.00
/php/property_page_fp.php?id_neuron=1000&parameter=TSWB.SLN&count=2&page=1,3,0.00%,0,33.33%,1.67,00:00:07,0.00%,0,$0.00
/php/property_page_fp.php?id_neuron=2005&parameter=D.RASP.NASP&count=1&page=1,3,0.00%,0,33.33%,2.67,00:04:20,0.00%,0,$0.00
/php/property_page_fp.php?id_neuron=4000&parameter=ASP.&count=1&page=1,3,33.33%,1,66.67%,2.67,00:00:17,0.00%,0,$0.00
/php/property_page_markers.php?id_neuron=1000&amp;val_property=mGluR1&amp;color=positive&amp;page=markers,3,100.00%,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
/php/property_page_markers.php?id_neuron=1000&amp;val_property=mGluR3&amp;color=positive&amp;page=markers,3,100.00%,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
/php/property_page_markers.php?id_neuron=1000&amp;val_property=mGluR5&amp;color=positive&amp;page=markers,3,100.00%,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
/php/property_page_markers.php?id_neuron=1000&amp;val_property=vGlut1&amp;color=positive&amp;page=markers,3,100.00%,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
/php/property_page_markers.php?id_neuron=1000&amp;val_property=Y1&amp;color=positive&amp;page=markers,3,100.00%,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
/php/property_page_markers.php?id_neuron=1000&val_property=CaM&color=positive&page=markers,3,0.00%,0,66.67%,3.67,00:09:34,0.00%,0,$0.00
/php/property_page_markers.php?id_neuron=1000&val_property=DYN&color=positive&page=markers,3,33.33%,1,33.33%,2.00,00:04:17,0.00%,0,$0.00
/php/property_page_markers.php?id_neuron=1000&val_property=Gaba-a-alpha&color=positive-negative&page=markers,3,33.33%,1,0.00%,2.33,00:05:55,0.00%,0,$0.00
/php/property_page_markers.php?id_neuron=1002&val_property=GluA2/3&color=positive&page=markers,3,33.33%,1,33.33%,1.67,00:08:15,0.00%,0,$0.00
/php/property_page_markers.php?id_neuron=1013&val_property=NPY&color=positive&page=markers,3,33.33%,1,66.67%,1.67,00:00:07,0.00%,0,$0.00
/php/property_page_markers.php?id_neuron=1035&val_property=Gaba-a-alpha&color=positive_inference&page=markers,3,0.00%,0,33.33%,3.33,00:11:14,0.00%,0,$0.00
/php/property_page_markers.php?id_neuron=2000&val_property=CB1&color=positive-negative-weak_positive&page=markers,3,33.33%,1,66.67%,2.33,00:05:07,0.00%,0,$0.00
/php/property_page_markers.php?id_neuron=2000&val_property=NG&color=positive&page=markers,3,66.67%,2,66.67%,1.33,00:08:42,0.00%,0,$0.00
/php/property_page_markers.php?id_neuron=4000&val_property=BDNF&color=positive&page=markers,3,0.00%,0,66.67%,1.33,00:00:08,0.00%,0,$0.00
/php/property_page_markers.php?id_neuron=4000&val_property=Ctip2&color=negative&page=markers,3,0.00%,0,66.67%,1.33,00:08:39,0.00%,0,$0.00
/php/property_page_markers.php?id_neuron=4069&val_property=SOM&color=positive-positive_inference-negative_inference&page=markers,3,0.00%,0,33.33%,2.67,00:04:33,0.00%,0,$0.00
/php/property_page_morphology.php?id_neuron=1000&val_property=CA3_SL&color=red&page=1,3,0.00%,0,66.67%,1.67,00:02:55,0.00%,0,$0.00
/php/property_page_morphology.php?id_neuron=1000&val_property=DG_H&color=red&page=1,3,33.33%,1,33.33%,3.33,00:02:03,0.00%,0,$0.00
/php/property_page_morphology.php?id_neuron=1027&val_property=DG_H&color=violetSoma&page=1,3,33.33%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
