# ----------------------------------------
# All Web Site Data
# Exit Pages
# 20150101-20230701
# ----------------------------------------

Page,Exits,Pageviews,% Exit
/php/property_page_counts.php,4,83,4.82%
/php/property_page_counts.php?id_neuron=1000&val_property=counts,4,29,13.79%
/php/property_page_counts.php?id_neuron=2000&val_property=counts,4,7,57.14%
/php/property_page_fp.php?id_neuron=2000&parameter=RASP.NASP&count=1&page=1,4,13,30.77%
/php/property_page_markers.php?id_neuron=1000&val_property=5HT-3&color=negative&page=markers,4,7,57.14%
/php/property_page_markers.php?id_neuron=1000&val_property=CCK&color=positive-negative&page=markers,4,8,50.00%
/php/property_page_markers.php?id_neuron=1010&val_property=GAT-1&color=positive&page=markers,4,10,40.00%
/php/property_page_markers.php?id_neuron=4098&val_property=CB&color=positive-negative-weak_positive&page=markers,4,4,100.00%
/php/property_page_morphology.php?id_neuron=1002&val_property=DG_H&color=blue&page=1,4,4,100.00%
/php/property_page_morphology.php?id_neuron=1009&val_property=DG_SMo&color=blue&page=1,4,8,50.00%
/php/property_page_morphology.php?id_neuron=2000&val_property=CA3_SLM&color=blue&page=1,4,16,25.00%
/php/property_page_morphology.php?id_neuron=2000&val_property=CA3_SR&color=red&page=1,4,13,30.77%
/php/property_page_morphology.php?id_neuron=3000&val_property=CA2_SR&color=violet&page=1,4,5,80.00%
/php/property_page_morphology.php?id_neuron=4000&val_property=CA1_SP&color=somata&page=1,4,14,28.57%
/php/property_page_morphology.php?id_neuron=4000&val_property=CA1_SR&color=blueSoma&page=1,4,14,28.57%
/php/property_page_phases.php?id_neuron=4000&val_property=theta,4,6,66.67%
/php/property_page_phases.php?pre_id=2000,4,14,28.57%
/php/view_fp_image.php?image=Ali-Thomson-1998-185-JPhysiol-Fig2A-Cell4089-ASP..jpeg,4,12,33.33%
/synapse_probabilities/php/morphology.php,4,37,10.81%
/devur2/property_page_phases.php?id_neuron=1000,3,42,7.14%
/devur2/property_page_phases.php?id_neuron=1000&val_property=all_other,3,8,37.50%
/devur3/property_page_counts.php,3,9,33.33%
/devur3/property_page_counts.php?id_neuron=1000&val_property=counts,3,5,60.00%
/devur3/property_page_phases.php?id_neuron=4098&val_property=theta,3,21,14.29%
/devur4/index.php,3,10,30.00%
/devur5/,3,17,17.65%
/hippocampome/php/morphology.php,3,5,60.00%
/php_v2_bak_20221117/,3,34,8.82%
/php_v2_bak_20221117/morphology.php,3,10,30.00%
/php_v2/firing_patterns.php?show_only=20,3,5,60.00%
/php_v2/property_page_phases.php?id_neuron=4036&val_property=theta,3,5,60.00%
/php/firing_patterns.php?show_only=12,3,7,42.86%
/php/Help_Ongoing_Literature_Mining.php,3,4,75.00%
/php/property_page_connectivity.php?id1_neuron=1000&val1_property=CA2_SP&color1=red&id2_neuron=3000&val2_property=CA2_SP&color2=violetSoma&connection_type=2&known_conn_flag=1&axonic_basket_flag=0&page=1,3,4,75.00%
/php/property_page_connectivity.php?id1_neuron=1000&val1_property=CA3_SL&color1=red&id2_neuron=2028&val2_property=CA3_SL&color2=blue&connection_type=2&known_conn_flag=1&axonic_basket_flag=0&page=1,3,4,75.00%
/php/property_page_connectivity.php?id1_neuron=1002&val1_property=DG_H&color1=violetSoma&id2_neuron=1013&val2_property=DG_H&color2=blueSoma&connection_type=2&known_conn_flag=1&axonic_basket_flag=0&page=1,3,5,60.00%
/php/property_page_connectivity.php?id1_neuron=1013&val1_property=&color1=&id2_neuron=1000&val2_property=&color2=&connection_type=&known_conn_flag=1&axonic_basket_flag=0&page=1,3,3,100.00%
/php/property_page_connectivity.php?id1_neuron=1026&val1_property=CA3_SR&color1=red&id2_neuron=2000&val2_property=CA3_SR&color2=violet&connection_type=1&known_conn_flag=0&axonic_basket_flag=0&page=1,3,3,100.00%
